cluster,total length [bp],number of reads,Genome proportion[%],cumulative GP [%],Repeat Masker,Domain hits,Layout,All missing mates [%],Missing mates,Portion of similarity hits to other clusters[%],Outside reads with similarity [%],
104,CL104,899876,12013,0.194,35.7,"Simple_repeat (221hits, 0.994%)",,,56,9.56,1.20E+00,9.207
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (5hits, 0.0251%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00467%)",,,,,,
105,CL105,896426,11980,0.193,35.9,"LTR.Copia (156hits, 0.991%)",Ty1-GAG Ty1/copia Maximus/SIRE (394 hits 3.29%),,22.9,9.13,6.80E-02,0.5259
,,,,,,,Ty1-GAG Ty1/copia Ivana/Oryco (46 hits 0.384%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (130hits, 0.526%)",,,,,,
,,,,,,"Low_complexity (7hits, 0.0295%)",,,,,,
106,CL106,886969,11902,0.192,36.1,"Simple_repeat (2hits, 0.00598%)",,,23,9.46,3.00E-02,0.1764
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"RC.Helitron (1hits, 0.00552%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00451%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.0044%)",,,,,,
107,CL107,877087,11724,0.189,36.3,"DNA.CMC.EnSpm (2837hits, 21%)",DTC-CD1 NA NA (3680 hits 31.4%),,19.2,8.5,7.80E-02,0.5544
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (610hits, 3.39%)",,,,,,
,,,,,,"Low_complexity (65hits, 0.395%)",,,,,,
,,,,,,"LTR.Gypsy (2hits, 0.0128%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00365%)",,,,,,
108,CL108,875582,11707,0.189,36.4,"LTR.Copia (3483hits, 25.9%)",,,29.2,3.09,4.70E-01,3.647
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (466hits, 2.11%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00503%)",,,,,,
109,CL109,870809,11649,0.188,36.6,"Simple_repeat (72hits, 0.252%)",,,41.8,5.85,3.50E-01,4.043
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (9hits, 0.0303%)",,,,,,
110,CL110,864402,11590,0.187,36.8,"LTR.Gypsy (4006hits, 31%)",Ty3-RT Ty3/gypsy Ogre/Tat (3048 hits 26.3%),,13.2,5.53,3.50E-01,1.898
,,,,,,,Ty3-INT Ty3/gypsy Ogre/Tat (314 hits 2.71%),,,,,
,,,,,,,Ty3-RH Ty3/gypsy Ogre/Tat (251 hits 2.17%),,,,,
,,,,,,,Ty3-INT Ty3/gypsy Athila (46 hits 0.397%),,,,,
,,,,,,,Ty3-RT Ty3/gypsy chromovirus (1 hits 0.00863%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (11hits, 0.0294%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00544%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00497%)",,,,,,
111,CL111,864435,11557,0.187,37,"LTR.Gypsy (39hits, 0.242%)",Ty3-INT Ty3/gypsy Ogre/Tat (162 hits 1.4%),,13.3,4.21,3.40E-02,0.7961
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (10hits, 0.0403%)",,,,,,
,,,,,,"DNA.MULE.MuDR (3hits, 0.0231%)",,,,,,
112,CL112,858250,11468,0.185,37.2,"Simple_repeat (506hits, 2.31%)",,,49.4,10.39,4.30E-01,4.744
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LINE.L1 (1hits, 0.00571%)",,,,,,
113,CL113,856445,11455,0.185,37.4,"Simple_repeat (131hits, 0.686%)",,,99.9,13.97,9.90E-01,27.66
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (9hits, 0.0485%)",,,,,,
,,,,,,"DNA.PIF.Harbinger (1hits, 0.00712%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00315%)",,,,,,
114,CL114,855077,11437,0.185,37.6,"Simple_repeat (165hits, 0.833%)",,,36.5,9.43,7.60E-01,3.725
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (8hits, 0.0393%)",,,,,,
,,,,,,"LTR.Gypsy (3hits, 0.0195%)",,,,,,
,,,,,,"LINE.L1 (1hits, 0.00596%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00515%)",,,,,,
115,CL115,838255,11199,0.181,37.7,"Simple_repeat (320hits, 1.64%)",,,33.6,5.42,7.00E-01,4.715
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (40hits, 0.21%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00525%)",,,,,,
116,CL116,830393,11097,0.179,37.9,"Simple_repeat (83hits, 0.441%)",,,37.2,11.36,9.50E-02,1.09
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (8hits, 0.0305%)",,,,,,
,,,,,,"LTR.Gypsy (3hits, 0.0183%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00735%)",,,,,,
117,CL117,828487,11072,0.179,38.1,"Simple_repeat (1587hits, 6.61%)",,,66.6,3.73,4.30E-01,8.282
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (67hits, 0.291%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (4hits, 0.0227%)",,,,,,
,,,,,,"LTR.Copia (2hits, 0.0105%)",,,,,,
118,CL118,824912,11021,0.178,38.3,"Simple_repeat (9hits, 0.0336%)",,,99.5,1.86,1.00E+01,36.71
119,CL119,820934,11003,0.178,38.5,"Simple_repeat (96hits, 0.302%)",DTH-CD1 NA NA (1 hits 0.00909%),,28.5,7.83,6.60E-02,0.7089
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (9hits, 0.0476%)",,,,,,
,,,,,,"LTR.Gypsy (5hits, 0.0274%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00512%)",,,,,,
120,CL120,818374,10939,0.177,38.6,"Simple_repeat (110hits, 0.48%)",,,14.7,3.7,8.10E-02,1.024
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (29hits, 0.16%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00794%)",,,,,,
121,CL121,814710,10915,0.176,38.8,"Simple_repeat (15hits, 0.0595%)",,,29.3,11.06,1.20E-01,0.5863
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (7hits, 0.0287%)",,,,,,
122,CL122,804101,10774,0.174,39,"Simple_repeat (96hits, 0.448%)",,,34,13.91,2.70E-01,2.061
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (6hits, 0.0285%)",,,,,,
123,CL123,804721,10768,0.174,39.2,"LTR.Gypsy (6150hits, 51.3%)",Ty3-INT Ty3/gypsy Athila (2031 hits 18.9%),,10.3,4.48,2.10E-02,0.1207
,,,,,,,Ty3-RT Ty3/gypsy Athila (1491 hits 13.8%),,,,,
,,,,,,,Ty3-RH Ty3/gypsy Athila (769 hits 7.14%),,,,,
,,,,,,,Ty3-PROT Ty3/gypsy Athila (274 hits 2.54%),,,,,
,,,,,,,Ty3-PROT Ty3/gypsy Ogre/Tat (15......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (35hits, 0.189%)",,,,,,
,,,,,,"Low_complexity (23hits, 0.123%)",,,,,,
,,,,,,"DNA.MULE.MuDR (10hits, 0.0543%)",,,,,,
,,,,,,"LTR.Caulimovirus (1hits, 0.00559%)",,,,,,
124,CL124,801657,10698,0.173,39.3,"Simple_repeat (2827hits, 16.7%)",,,61.6,31.14,5.80E-02,0.6263
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (552hits, 3.21%)",,,,,,
,,,,,,"LTR.Gypsy (2hits, 0.0141%)",,,,,,
125,CL125,796414,10660,0.172,39.5,"Simple_repeat (5hits, 0.0222%)",,,56.3,18.76,3.70E-01,1.642
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (3hits, 0.0167%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00766%)",,,,,,
126,CL126,783982,10466,0.169,39.7,"Simple_repeat (105hits, 0.526%)",,,79.6,6.86,3.60E+00,23.11
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (14hits, 0.0802%)",,,,,,
,,,,,,"LTR.Copia (2hits, 0.00842%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00434%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00395%)",,,,,,
127,CL127,769441,10298,0.166,39.8,"Simple_repeat (60hits, 0.253%)",,,59.9,1.43,2.40E+00,13.62
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (1hits, 0.00611%)",,,,,,
128,CL128,764526,10233,0.165,40,"Simple_repeat (387hits, 1.58%)",,,48.1,6.07,7.60E-01,4.095
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (19hits, 0.0933%)",,,,,,
,,,,,,"LTR.Gypsy (3hits, 0.0192%)",,,,,,
129,CL129,760024,10157,0.164,40.2,"DNA.CMC.EnSpm (3722hits, 32.1%)",DTC-CD1 NA NA (3823 hits 37.6%),,14.6,3.78,7.20E-02,0.4037
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (93hits, 0.452%)",,,,,,
,,,,,,"Low_complexity (19hits, 0.107%)",,,,,,
130,CL130,755305,10103,0.163,40.3,"LTR.Gypsy (216hits, 1.75%)",Ty3-INT Ty3/gypsy Ogre/Tat (557 hits 5.51%),,37.9,7.37,4.70E-01,4.266
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (31hits, 0.131%)",,,,,,
,,,,,,"Low_complexity (6hits, 0.0285%)",,,,,,
131,CL131,752720,10050,0.162,40.5,"LTR.Gypsy (547hits, 3.98%)",Ty3-INT Ty3/gypsy Athila (1 hits 0.00995%),,24,11.44,1.10E-02,0.2289
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (258hits, 1.51%)",,,,,,
,,,,,,"Low_complexity (95hits, 0.566%)",,,,,,
132,CL132,748612,10037,0.162,40.7,"Simple_repeat (14hits, 0.076%)",,,28.1,6.67,6.40E-02,1.933
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (8hits, 0.0393%)",,,,,,
,,,,,,"LTR.Gypsy (1hits, 0.00842%)",,,,,,
133,CL133,747481,10018,0.162,40.8,"LTR.Gypsy (16hits, 0.0966%)",Ty3-GAG Ty3/gypsy Athila (131 hits 1.31%),,13.4,3.7,5.40E-02,0.6089
,,,,,,,Ty3-GAG Ty3/gypsy Ogre/Tat (126 hits 1.26%),,,,,
,,,,,,,Ty3-PROT Ty3/gypsy Ogre/Tat (94 hits 0.938%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (10hits, 0.0423%)",,,,,,
,,,,,,"Simple_repeat (3hits, 0.0146%)",,,,,,
134,CL134,742070,9929,0.16,41,"Low_complexity (330hits, 2.18%)",,,49.5,12.91,6.50E-01,4.713
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (248hits, 1.39%)",,,,,,
,,,,,,"LTR.Gypsy (6hits, 0.0342%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00633%)",,,,,,
135,CL135,738662,9866,0.159,41.1,"Simple_repeat (5hits, 0.0269%)",,,99.9,1.51,8.90E+00,33.65
136,CL136,738106,9864,0.159,41.3,"LTR.Copia (7706hits, 73.1%)",Ty1-INT Ty1/copia TAR (2088 hits 21.2%),,23.8,1.82,7.50E-01,5.738
,,,,,,,Ty1-INT Ty1/copia Angela (582 hits 5.9%),,,,,
,,,,,,,Ty1-RT Ty1/copia TAR (321 hits 3.25%),,,,,
,,,,,,,Ty1-INT Ty1/copia Ivana/Oryco (94 hits 0.953%),,,,,
,,,,,,,Ty1-INT Ty1/copia Maximus/SIRE (42......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (1hits, 0.00637%)",,,,,,
137,CL137,736436,9836,0.159,41.5,"LTR.Copia (117hits, 0.941%)",Ty1-RH Ty1/copia Angela (18 hits 0.183%),,34.1,9.3,1.70E+00,18.21
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (75hits, 0.43%)",,,,,,
,,,,,,"DNA.P (1hits, 0.00611%)",,,,,,
138,CL138,733377,9795,0.158,41.6,"Simple_repeat (357hits, 1.9%)",,,22.2,11.01,2.50E-03,0.0306
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (110hits, 0.649%)",,,,,,
,,,,,,"Low_complexity (74hits, 0.411%)",,,,,,
,,,,,,"LTR (3hits, 0.0205%)",,,,,,
,,,,,,"LTR.Copia (2hits, 0.0115%)",,,,,,
,,,,,,"LINE.L1 (2hits, 0.0102%)",,,,,,
139,CL139,727884,9773,0.158,41.8,"Simple_repeat (32hits, 0.192%)",,,27.4,3.22,1.50E+00,5.638
140,CL140,727417,9716,0.157,41.9,"LTR.Copia (1180hits, 10.6%)",,,47.3,9.37,4.00E-01,3.695
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (924hits, 4.67%)",,,,,,
,,,,,,"Low_complexity (385hits, 2.17%)",,,,,,
,,,,,,"DNA.MULE.MuDR (1hits, 0.00811%)",,,,,,
141,CL141,725045,9695,0.157,42.1,"Simple_repeat (442hits, 2.53%)",DTM-CD1 NA NA (1 hits 0.0103%),,43,24.41,3.70E-04,0.0103
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (41hits, 0.247%)",,,,,,
142,CL142,717585,9591,0.155,42.2,"LTR.Copia (5685hits, 53.9%)",Ty1-RT Ty1/copia Maximus/SIRE (3041 hits 31.7%),,18.7,5.5,5.00E-02,0.5005
,,,,,,,Ty1-RH Ty1/copia Maximus/SIRE (1778 hits 18.5%),,,,,
,,,,,,,Ty1-RT Ty1/copia Ivana/Oryco (23 hits 0.24%),,,,,
,,,,,,,Ty1-RH Ty1/copia AleI/Retrofit (11 hits 0.115%),,,,,
,,,,,,,Ty1-RH Ty1/......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (17hits, 0.0916%)",,,,,,
,,,,,,"Low_complexity (2hits, 0.00906%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00585%)",,,,,,
143,CL143,715492,9550,0.154,42.4,"LTR.Copia (23hits, 0.0985%)",,,69.6,11.42,3.50E+00,11.95
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (11hits, 0.0512%)",,,,,,
,,,,,,"Low_complexity (4hits, 0.0256%)",,,,,,
144,CL144,695591,9322,0.151,42.5,"Simple_repeat (118hits, 0.542%)",Ty3-GAG Ty3/gypsy chromovirus (175 hits 1.88%),,27,6.91,1.70E-01,0.944
,,,,,,,DTC-CD1 NA NA (1 hits 0.0107%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Gypsy (33hits, 0.227%)",,,,,,
145,CL145,689759,9220,0.149,42.7,"LTR.Copia (6045hits, 59.1%)",Ty1-RT Ty1/copia Angela (5583 hits 60.6%),,36.4,2.97,1.30E+00,7.104
,,,,,,,Ty1-RT Ty1/copia TAR (1417 hits 15.4%),,,,,
,,,,,,,Ty1-RT Ty1/copia Tork (132 hits 1.43%),,,,,
,,,,,,,Ty1-RT Ty1/copia Ivana/Oryco (24 hits 0.26%),,,,,
,,,,,,,Ty1-RT Ty1/copia AleII (3 hits 0.03......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR (1hits, 0.00841%)",,,,,,
146,CL146,690050,9210,0.149,42.8,"Simple_repeat (2699hits, 15.2%)",,,53.9,27.46,3.70E-02,0.4126
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (713hits, 4.43%)",,,,,,
,,,,,,"LTR.Gypsy (3hits, 0.0193%)",,,,,,
147,CL147,678235,9079,0.147,43,"LTR.Copia (22hits, 0.207%)",,,47.3,15.52,7.70E-02,0.6609
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (11hits, 0.0693%)",,,,,,
,,,,,,"LINE.L1 (2hits, 0.0108%)",,,,,,
,,,,,,"RC.Helitron (1hits, 0.0084%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00811%)",,,,,,
148,CL148,674955,9019,0.146,43.1,"LTR.Copia (178hits, 1.55%)",,,26.1,2.17,2.70E-01,4.413
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (20hits, 0.121%)",,,,,,
,,,,,,"Low_complexity (4hits, 0.0209%)",,,,,,
149,CL149,671672,8989,0.145,43.3,"LTR.Gypsy (4325hits, 45%)",Ty3-INT Ty3/gypsy chromovirus (1480 hits 16.5%),,12.9,4.18,5.80E-03,0.0445
,,,,,,,Ty3-RT Ty3/gypsy chromovirus (778 hits 8.66%),,,,,
,,,,,,,Ty3-RH Ty3/gypsy chromovirus (416 hits 4.63%),,,,,
,,,,,,,Ty3-CHDCR Ty3/gypsy chromovirus (135 hits 1.5%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (80hits, 0.525%)",,,,,,
,,,,,,"Low_complexity (60hits, 0.48%)",,,,,,
150,CL150,654948,8755,0.141,43.4,"LTR.Copia (807hits, 7.15%)",Ty1-PROT Ty1/copia AleII (107 hits 1.22%),,26.2,7.52,2.60E-01,1.668
,,,,,,,Ty1-PROT Ty1/copia Angela (19 hits 0.217%),,,,,
,,,,,,,Ty1-GAG Ty1/copia Angela (3 hits 0.0343%),,,,,
,,,,,,,Ty1-PROT Ty1/copia Ivana/Oryco (1 hits 0.0114%),,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (117hits, 0.666%)",,,,,,
,,,,,,"Low_complexity (71hits, 0.465%)",,,,,,
,,,,,,"LTR.Gypsy (4hits, 0.0313%)",,,,,,
,,,,,,"DNA.MULE.MuDR (2hits, 0.0205%)",,,,,,
151,CL151,653843,8735,0.141,43.6,"LTR.Copia (3025hits, 29.2%)",Ty1-INT Ty1/copia Maximus/SIRE (1776 hits 20.3%),,19.3,5.46,6.70E-02,0.4579
,,,,,,,Ty1-PROT Ty1/copia Maximus/SIRE (347 hits 3.97%),,,,,
,,,,,,,Ty1-INT Ty1/copia Ivana/Oryco (156 hits 1.79%),,,,,
,,,,,,,Ty1-INT Ty1/copia Tork (102 hits 1.17%),,,,,
,,,,,,,Ty1-INT Ty1/cop......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (6hits, 0.0336%)",,,,,,
152,CL152,645127,8614,0.139,43.7,"Simple_repeat (1234hits, 7.73%)",LINE-ENDO NA NA (9 hits 0.104%),,45.6,14.99,1.10E+00,6.141
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (233hits, 1.47%)",,,,,,
,,,,,,"LTR.Copia (11hits, 0.0963%)",,,,,,
153,CL153,635512,8504,0.137,43.8,"Simple_repeat (86hits, 0.492%)",,,61.8,29.93,1.30E+00,2.987
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (3hits, 0.0151%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.0096%)",,,,,,
154,CL154,626401,8380,0.135,44,"Simple_repeat (76hits, 0.431%)",,,63.5,2.22,2.30E+00,17.34
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Unknown (9hits, 0.0653%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00766%)",,,,,,
,,,,,,"DNA.PIF.Harbinger (1hits, 0.00686%)",,,,,,
,,,,,,"LTR.Copia (1hits, 0.00559%)",,,,,,
155,CL155,624678,8342,0.135,44.1,"Simple_repeat (28hits, 0.165%)",,,20.4,4.02,5.90E-01,1.966
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (19hits, 0.138%)",,,,,,
,,,,,,"Low_complexity (3hits, 0.019%)",,,,,,
,,,,,,"DNA.MULE.MuDR (2hits, 0.0112%)",,,,,,
156,CL156,620805,8292,0.134,44.2,"Simple_repeat (256hits, 1.61%)",,,23.3,9.36,1.60E-01,1.387
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (81hits, 0.529%)",,,,,,
,,,,,,"LTR.Gypsy (19hits, 0.0965%)",,,,,,
157,CL157,615999,8223,0.133,44.4,"LTR.Copia (19hits, 0.187%)",,,95.5,11.42,6.20E+00,17.82
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (5hits, 0.0282%)",,,,,,
158,CL158,613150,8222,0.133,44.5,"LTR.Gypsy (777hits, 7.63%)",Ty3-INT Ty3/gypsy Ogre/Tat (2061 hits 25.1%),,21.4,5.98,1.50E-01,0.9487
,,,,,,,Ty3-RH Ty3/gypsy Ogre/Tat (147 hits 1.79%),,,,,
,,,,,,,Ty1-INT Ty1/copia Ivana/Oryco (25 hits 0.304%),,,,,
,,,,,,,Ty1-INT Ty1/copia Maximus/SIRE (10 hits 0.122%),,,,,
,,,,,,,Ty1-INT Ty1/copia......,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (6hits, 0.0199%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (1hits, 0.00995%)",,,,,,
159,CL159,610889,8182,0.132,44.6,"Simple_repeat (24hits, 0.148%)",,,38.7,17.64,2.70E-01,1.271
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"LTR.Copia (1hits, 0.00638%)",,,,,,
,,,,,,"Low_complexity (1hits, 0.00475%)",,,,,,
160,CL160,601197,8063,0.13,44.8,"Simple_repeat (73hits, 0.304%)",,,19.7,5.89,1.70E-01,0.7813
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Low_complexity (5hits, 0.0264%)",,,,,,
,,,,,,"DNA.CMC.EnSpm (2hits, 0.0155%)",,,,,,
161,CL161,601564,8036,0.13,44.9,"LTR.Gypsy (331hits, 2.86%)",,,23.7,9.74,1.20E-02,0.1244
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,"Simple_repeat (57hits, 0.397%)",,,,,,
,,,,,,"Low_complexity (31hits, 0.211%)",,,,,,
162,CL162,596695,7975,0.129,45,"Low_complexity (2hits, 0.0106%)",,,5.6,2.57,2.00E-04,0.0251
,,,,,,,,,,,,
